samples, Bleu-2, Bleu-3, Bleu-4, Bleu-5
200,0.437,0.230,0.133,0.081
200,0.420,0.219,0.132,0.085
200,0.431,0.222,0.125,0.085
300,0.478,0.249,0.147,0.097
300,0.491,0.245,0.147,0.092
300,0.481,0.261,0.148,0.095
400,0.5039669574987585,0.26847472944069983,0.15752931019265706,0.10009216847352957
400,0.49146660733030606,0.27414191914793085,0.16429612227172777,0.10360706653353093
400,0.4880632965534413,0.2847557201928106,0.16303513243359954,0.10430481725116372
500,0.5135688760316633,0.29068207964443454,0.1706693150481477,0.10629188194837552
500,0.5149757831168564,0.28879252055347465,0.1596305503585413,0.10717502512701532
500,0.531197238559334,0.2947687034744371,0.16320280657355296,0.10454671942562459
600,0.5289516311125106,0.3081659354383066,0.17818243572556963,0.11393505161211814
600,0.5545349479357508,0.3094891563404727,0.18057064659281272,0.11204084474268945
600,0.532565873280515,0.3019829488226841,0.18237699966326712,0.11346030432340376
700,0.5300170926320564,0.31771723383199574,0.18982901068214686,0.11855955680635427
700,0.5547287848551712,0.31487348672834126,0.18433955510585473,0.11782301858945105
700,0.5486335642524263,0.320148298047924,0.1879490762740882,0.1144156074785893
800,0.5406123686479865,0.3217321289042318,0.1952102429228887,0.11906541378884919
800,0.5561824725131953,0.3298766806535474,0.18961564220975177,0.12021845262032091
800,0.5625507783017819,0.3286956976312485,0.19386940390624188,0.11934983992512357
900,0.5668522825971152,0.3320137397354378,0.1928296476895379,0.12275200719430372
900,0.5662063144505113,0.33600203461723815,0.19518129629792014,0.125811760678844
900,0.561778204942483,0.33470464514206155,0.1955071243372284,0.12417575927362809
1000,0.5828843743535427,0.3442042826946538,0.203106716452443,0.12688367099257356
1000,0.5804546665642976,0.3392553239956994,0.20604566534870183,0.12924537448705906
1000,0.5778209430050111,0.3421616330887124,0.2016229198224259,0.1276781786281719
1100,0.590465330277558,0.34946004629897215,0.2136878143806764,0.13496280982900916
1100,0.5991211791316566,0.3519598852185738,0.2067373764074708,0.13437505616348638
1100,0.577383518793588,0.35679803899875284,0.2080760491615507,0.13308546489159687
1200,0.5930983670373356,0.3564446330294618,0.2103586470459413,0.13242694870502514
1200,0.5913622915376342,0.35244345283198203,0.20934288012961033,0.13227319280250122
1200,0.5896634361263338,0.3562280158060511,0.21105447657717896,0.13356905392904025
